web-Stanford,?,HP4,HP4,HP4,0,8.3,9.4,9.2,0,0.01224,0.03769,0.09337,0,0.01224,0.03769,0.07774
web-BerkStan,HP4,HP4,HP4,HP4,8.9,12.8,14.9,14.4,0.002837,0.007946,0.03271,0.1136,0.002837,0.007946,0.03271,0.04761
web-Google,?,HP4,HP4,HP4,0,20.1,24.2,23.1,0,0.003135,0.01626,0.05517,0,0.003135,0.01626,0.04487
web-NotreDame,?,HP4,HP4,HP4,0,4.7,6.3,5.7,0,0.002549,0.004201,0.02459,0,0.002548,0.004201,0.02459
soc-Slashdot0811,AA4,AA4,AA4,HP4,2.5,4,6,5,0.08333,0.1078,0.1053,0.1539,0.08333,0.1078,0.1053,0.1539
soc-Slashdot0902,?,AA4,AA4,HP4,0,3.7,6.7,4.9,0,0.0816,0.09518,0.1529,0,0.08153,0.09517,0.1529
soc-Epinions1,?,?,LHN4,HP4,0,0,5.1,3.5,0,0,0.007668,0.02534,0,0,0.007668,0.02244
soc-LiveJournal1,LHN128,AA4,HP4,HP4,10031.9,190.6,187.3,184.3,0.006485,0.003454,0.02182,0.07004,0.006484,0.003454,0.02182,0.0389
coAuthorsDBLP,RA512,HP4,HP4,HP4,84.1,8,13.5,13.7,0.01031,0.004103,0.06238,0.1595,0.01031,0.004103,0.06238,0.1595
coAuthorsCiteseer,HP4,HP4,HP4,HP4,4.2,5.5,10.5,8.8,0.01235,0.01353,0.06646,0.1712,0.01235,0.01353,0.06646,0.1712
coPapersCiteseer,HD256,SC256,LHN4,LHN4,565.6,1213.4,9.2,10.7,0.1772,0.1546,0.08627,0.3829,0.1772,0.1546,0.03702,0.02482
coPapersDBLP,HD256,SC256,LHN4,LHN4,816.7,1820.1,11.1,12.3,0.1634,0.1356,0.06768,0.3281,0.1634,0.1356,0.04335,0.02871
indochina-2004,HP4,HP4,HP4,HP4,125.9,140.7,149.6,138.6,0.002686,0.009645,0.0247,0.1524,0.002686,0.009645,0.0247,0.0167
italy\\_osm,?,?,LHN4,LHN4,0,0,246.6,259.5,0,0,0.00004298,0.0001515,0,0,0.00004298,0.0001515
great-britain\\_osm,?,SI256,LHN4,LHN4,0,238.4,348.2,350.5,0,0.0001227,0.0001109,0.0002839,0,0.0001227,0.0001109,0.0002839
germany\\_osm,?,?,LHN4,LHN4,0,0,512,564.9,0,0,0.0000975,0.0003582,0,0,0.0000975,0.0003582
asia\\_osm,?,?,LHN4,LHN4,0,0,447.4,493.7,0,0,0.00003953,0.0001051,0,0,0.00003953,0.0001051
